k,time,angle
1,22,0
2,23,0
3,23,0
4,23,0
5,23,0
6,23,0
7,23,0
8,23,0
9,23,0
10,23,0
11,23,0
12,23,0
13,23,0
14,23,0
15,23,0.00549316
16,23,0.00549316
17,23,0.00549316
18,24,0.00549316
19,24,0.00549316
20,24,0.00549316
21,24,0.00549316
22,24,0.00549316
23,24,0.00549316
24,133,0.00549316
25,133,0.00549316
26,133,0.00549316
27,134,0.00549316
28,134,0.00549316
29,134,0
30,134,0
31,134,0
32,134,0
33,134,0
34,134,0
35,134,0
36,134,0
37,134,0
38,134,0
39,134,0
40,134,0
41,134,0
42,134,0
43,134,0
44,135,0
45,135,0
46,135,0
47,246,0
48,248,0
49,248,0
50,248,0
51,248,0
52,248,0.00549316
53,248,0.00549316
54,248,0.00549316
55,248,0.00549316
56,248,0.00549316
57,248,0.00549316
58,248,0.00549316
59,248,0.00549316
60,248,0.00549316
61,248,0
62,248,0
63,248,0
64,248,0
65,249,0
66,249,0
67,249,0
68,249,0
69,361,0
70,361,0
71,361,0
72,361,0
73,361,0
74,361,0
75,361,0
76,361,0
77,361,0
78,361,0
79,361,0
80,361,0
81,362,0
82,362,0
83,362,0
84,362,0
85,362,0
86,362,0
87,362,0
88,362,0
89,362,0
90,362,0
91,362,0
92,473,0
93,473,0
94,473,0
95,473,0
96,473,0
97,473,0
98,473,0
99,473,0
100,473,0
101,473,0
102,473,0
103,473,0
104,473,0
105,473,0
106,473,0
107,473,0
108,473,0
109,473,0
110,473,0
111,473,0
112,473,0
113,473,0
114,473,0
115,586,0
116,586,0
117,586,0
118,586,0
119,586,0.00549316
120,586,0.00549316
121,586,0.00549316
122,586,0.00549316
123,586,0.00549316
124,586,0
125,586,0
126,586,0
127,586,-0.00549316
128,586,-1.16455
129,586,-2.31812
130,586,-3.47168
131,587,-4.61426
132,587,-15.4797
133,587,-27.9547
134,587,-41.5613
135,587,-55.3656
136,587,-68.3405
137,701,-79.8157
138,701,-89.61
139,701,-97.8497
140,701,-104.771
141,701,-110.797
142,701,-115.609
143,701,-118.537
144,701,-114.027
145,701,8.9209
146,701,29.5148
147,701,28.1195
148,701,23.9557
149,701,18.4845
150,701,11.8872
151,701,4.02649
152,701,-5.31189
153,701,-16.3202
154,701,-28.927
155,701,-42.616
156,701,-56.4203
157,701,-69.3182
158,701,-80.6891
159,701,-90.368
160,815,-98.5144
161,816,-105.359
162,816,-111.319
163,816,-116.071
164,816,-118.861
165,816,-113.121
166,816,14.9194
167,816,29.8773
168,816,28.0261
169,816,23.6975
170,816,18.1219
171,816,11.4203
172,816,3.44421
173,816,-6.026
174,816,-17.1771
175,816,-29.9048
176,816,-43.6597
177,816,-57.4475
178,816,-70.2686
179,816,-81.5186
180,816,-91.0876
181,816,-99.1406
182,816,-105.908
183,925,-111.791
184,925,-116.461
185,925,-119.064
186,925,-111.605
187,925,18.9679
188,925,30.0256
189,926,27.8174
190,926,23.3624
191,926,17.688
192,926,10.8875
193,926,2.80151
194,926,-6.80054
195,926,-18.0835
196,926,-30.9265
197,926,-44.7253
198,926,-58.4802
199,926,-71.1969
200,926,-82.3206
201,926,-91.7688
202,926,-99.7119
203,926,-106.397
204,926,-112.187
205,1040,-116.735
206,1040,-119.048
207,1040,-108.962
208,1040,21.5332
209,1040,29.9158
210,1040,27.4658
211,1040,22.9065
212,1040,17.1497
213,1040,10.2612
214,1040,2.06543
215,1040,-7.66296
216,1040,-19.0723
217,1040,-32.0087
218,1040,-45.835
219,1040,-59.5184
220,1040,-72.1088
221,1041,-83.0896
222,1041,-92.4005
223,1041,-100.228
224,1041,-106.809
225,1041,-112.478
226,1041,-116.856
227,1041,-118.729
228,1155,-104.496
229,1155,22.9559
230,1155,29.5367
231,1155,26.9275
232,1155,22.3077
233,1155,16.485
234,1155,9.50867
235,1155,1.2085
236,1155,-8.64075
237,1155,-20.1654
238,1155,-33.1787
239,1155,-46.994
240,1155,-60.5786
241,1155,-73.0151
242,1155,-83.8257
243,1155,-92.9883
244,1155,-100.679
245,1155,-107.139
246,1155,-112.654
247,1155,-116.779
248,1155,-117.988
249,1155,-96.9983
250,1155,23.4613
251,1266,28.8611
252,1267,26.1859
253,1267,21.5277
254,1267,15.6555
255,1267,8.60229
256,1267,0.20874
257,1267,-9.76135
258,1267,-21.3904
259,1267,-34.4476
260,1267,-48.219
261,1267,-61.6663
262,1267,-73.9105
263,1267,-84.5288
264,1267,-84.397
265,1267,-84.2596
266,1267,-84.1278
267,1267,-83.9905
268,1267,-83.8531
269,1267,-83.7158
270,1267,-83.5785
271,1267,-83.4357
272,1267,-83.2983
273,1267,-83.161
274,1380,-83.0182
275,1380,-82.8809
276,1380,-82.7435
277,1380,-82.6062
278,1380,-82.4744
279,1380,-82.337
280,1380,-82.1997
281,1380,-82.0624
282,1380,-81.925
283,1380,-81.7877
284,1380,-81.6504
285,1380,-81.5131
286,1380,-81.3702
287,1380,-81.2329
288,1380,-81.0956
289,1380,-80.9583
290,1380,-80.8154
291,1380,-80.6781
292,1380,-80.5408
293,1380,-80.3979
294,1380,-80.2606
295,1380,-80.1233
296,1494,-79.986
297,1494,-79.8431
298,1494,-79.7058
299,1494,-79.563
300,1494,-79.4257
301,1495,-79.2883
302,1495,-79.151
303,1495,-79.0137
304,1495,-78.8763
305,1495,-78.7445
306,1495,-78.6072
307,1495,-78.4698
308,1495,-78.3325
309,1495,-78.1952
310,1495,-78.0579
311,1495,-77.9205
312,1495,-77.7832
313,1495,-77.6459
314,1495,-77.5085
315,1495,-77.3712
316,1495,-77.2339
317,1495,-77.0966
318,1495,-76.9592
319,1606,-76.8219
320,1606,-76.6846
321,1606,-76.5472
322,1606,-76.4044
323,1606,-76.2671
324,1606,-76.1298
325,1606,-75.9924
326,1606,-75.8551
327,1606,-75.7178
328,1606,-75.5804
329,1606,-75.4431
330,1606,-75.3058
331,1606,-75.1685
332,1606,-75.0311
333,1606,-74.8938
334,1606,-74.762
335,1606,-74.6246
336,1606,-74.4873
337,1606,-74.3555
338,1606,-74.2181
339,1606,-74.0808
340,1606,-73.949
341,1607,-73.8116
