k,time,angle
1,9,0
2,10,0
3,10,0
4,10,0
5,10,0
6,10,0
7,10,0
8,10,0
9,10,0
10,10,0
11,10,0
12,10,0
13,10,0
14,11,0
15,11,0
16,11,0
17,11,0
18,11,0
19,11,0
20,11,0
21,11,0
22,11,0
23,11,0
24,124,0
25,125,0
26,125,0
27,125,0
28,125,0
29,125,0
30,125,0
31,125,0
32,125,0
33,125,0
34,125,0
35,125,0
36,125,0
37,125,0
38,125,0
39,125,0
40,125,0
41,125,0
42,125,0
43,125,0
44,125,0
45,126,0
46,126,0
47,236,0
48,236,0
49,236,0
50,236,0
51,236,0
52,236,0
53,236,0
54,236,0
55,236,0.00549316
56,237,0.00549316
57,237,0.00549316
58,239,0.00549316
59,239,0.00549316
60,239,0.00549316
61,239,0.00549316
62,239,0.00549316
63,239,0.00549316
64,239,0.00549316
65,239,0.00549316
66,239,0.00549316
67,239,0.00549316
68,239,0.00549316
69,239,0.00549316
70,349,0.00549316
71,349,0.00549316
72,349,0.00549316
73,349,0.00549316
74,349,0.00549316
75,349,0.00549316
76,349,0.00549316
77,349,0.00549316
78,349,0.00549316
79,349,0.00549316
80,349,0.00549316
81,349,0.00549316
82,349,0.00549316
83,349,0.00549316
84,349,0.00549316
85,349,0.00549316
86,349,0.00549316
87,349,0.00549316
88,349,0.00549316
89,349,0.00549316
90,349,0.00549316
91,349,0.00549316
92,464,0.00549316
93,464,0.00549316
94,464,0.00549316
95,464,0.00549316
96,464,0.00549316
97,464,0.00549316
98,464,0.00549316
99,464,0.00549316
100,464,0.00549316
101,464,0.00549316
102,464,0.00549316
103,464,0.00549316
104,464,0.00549316
105,464,0.00549316
106,464,0.00549316
107,464,0.00549316
108,464,0.00549316
109,464,0.00549316
110,464,0.00549316
111,464,0.00549316
112,464,0.00549316
113,464,0.00549316
114,464,0
115,576,0.00549316
116,576,0.00549316
117,576,0.00549316
118,576,0.00549316
119,576,0.00549316
120,576,0.00549316
121,576,0
122,576,0
123,576,0
124,576,0
125,576,0
126,576,0
127,576,0.0164795
128,576,0.032959
129,576,0.0494385
130,576,0.0604248
131,576,0.175781
132,576,0.291138
133,576,0.406494
134,576,0.521851
135,576,0.637207
136,576,0.74707
137,576,0.862427
