k,time,angle
1,23,0
2,24,0
3,24,0
4,24,0
5,24,0
6,24,0
7,24,0
8,24,0
9,24,0
10,24,0
11,24,0
12,24,0
13,24,0
14,24,0
15,24,0
16,24,0
17,24,0
18,24,0
19,24,0
20,24,0
21,24,0
22,24,0
23,25,0
24,138,0
25,138,0
26,138,0
27,138,0
28,138,0
29,138,0
30,138,0
31,138,0
32,138,0
33,138,0
34,138,0
35,139,0
36,139,0
37,139,0
38,139,0
39,139,0
40,139,0
41,139,0
42,139,0
43,139,0
44,139,0
45,139,0
46,139,0
47,250,0
48,250,0
49,250,0
50,250,0
51,250,0
52,250,0
53,250,0
54,250,0
55,250,0
56,250,0
57,250,0
58,250,0
59,250,0
60,252,0
61,252,0
62,252,0
63,252,0
64,252,0
65,252,0
66,252,0
67,252,0
68,252,0
69,252,0
70,363,0
71,363,0
72,363,0
73,363,0
74,363,0
75,363,0
76,363,0
77,363,0
78,363,0
79,363,0
80,363,0
81,363,0
82,363,0
83,363,0
84,363,0
85,363,0
86,363,0
87,363,0
88,363,0
89,363,0
90,363,0
91,363,0
92,478,0
93,478,0
94,478,0
95,478,0
96,478,0
97,478,0
98,478,0
99,478,0
100,478,0
101,478,0
102,478,0
103,478,0
104,478,0
105,478,0
106,478,0
107,478,0
108,478,0
109,478,0
110,478,0
111,478,0
112,478,0
113,478,0
114,478,0
115,589,0
116,589,0
117,589,0
118,589,0
119,589,0
120,589,0
121,589,0
122,589,0
123,589,0
124,589,0
125,589,0
126,589,0.0549316
127,589,0.109863
128,590,0.164795
129,590,0.214233
130,590,0.340576
131,590,0.461426
132,590,0.587769
133,590,0.703125
134,590,0.823975
135,590,0.944824
136,590,1.06567
137,590,1.18652
138,702,1.30737
139,702,1.42822
140,702,1.54907
141,702,1.66992
142,702,1.79626
143,702,1.92261
144,702,2.05444
145,702,2.18079
146,702,2.30713
147,702,2.43347
148,702,2.55981
149,702,2.68616
150,702,2.8125
151,702,2.93335
152,702,3.05969
153,702,3.18054
154,702,3.30139
155,702,3.42224
156,702,3.5376
157,702,3.65845
158,702,3.76831
159,702,3.87268
160,817,3.98254
161,817,4.08691
162,817,4.19128
163,817,4.29016
164,817,4.39453
165,817,4.49341
166,817,4.59229
167,817,4.68567
168,817,4.78455
169,817,4.87793
170,817,4.96033
171,817,5.04822
172,817,5.13062
173,817,5.21301
174,817,5.28442
175,817,5.36133
176,817,5.43823
177,817,5.50964
178,817,5.58105
179,818,5.65247
180,818,5.71838
181,818,5.78979
182,818,5.85571
183,932,5.92712
184,932,5.99854
185,932,6.06445
186,932,6.13586
187,932,6.20728
188,932,6.27869
189,932,6.3446
190,932,6.41602
191,932,6.48743
192,932,6.55884
193,932,6.62476
194,932,6.69617
195,932,6.76758
196,932,6.83899
197,932,6.9104
198,932,6.97632
199,932,7.04224
200,932,7.10815
201,932,7.17407
202,932,7.23999
203,932,7.30591
204,932,7.37183
205,932,7.43774
206,1043,7.50916
207,1044,7.57507
208,1044,7.64099
209,1044,7.70691
210,1044,7.77283
211,1044,7.83875
212,1044,7.90466
213,1044,7.97058
214,1044,8.0365
215,1044,8.09692
216,1044,8.16284
217,1044,8.22327
218,1044,8.28918
219,1044,8.34961
220,1044,8.41553
221,1044,8.47595
222,1044,8.53638
223,1044,8.59131
224,1044,8.65173
225,1044,8.70667
226,1044,8.76709
227,1044,8.82751
228,1044,8.88245
229,1156,8.94287
230,1156,8.9978
231,1156,9.05273
232,1156,9.10767
233,1156,9.1626
234,1157,9.21204
235,1157,9.26697
236,1157,9.31641
237,1157,9.37134
238,1157,9.42078
239,1157,9.47571
240,1157,9.52515
241,1157,9.57458
242,1157,9.62402
243,1157,9.67346
244,1157,9.7229
245,1157,9.77783
246,1157,9.82727
247,1157,9.87671
248,1157,9.92615
249,1157,9.97009
250,1157,10.014
251,1271,10.0635
252,1271,10.1074
253,1271,10.1514
254,1271,10.1953
255,1271,10.2393
256,1271,10.2832
257,1272,10.3217
258,1272,10.3656
259,1272,10.4041
260,1272,10.448
261,1272,10.4865
262,1272,10.5249
263,1272,10.5634
264,1272,10.6018
265,1272,10.6403
266,1272,10.6732
267,1272,10.7117
268,1272,10.7446
269,1272,10.7776
270,1272,10.8105
271,1272,10.8435
272,1272,10.8765
273,1272,10.9039
274,1383,10.9369
275,1383,10.9644
276,1383,10.9918
277,1383,11.0248
278,1383,11.0522
279,1383,11.0797
280,1383,11.1072
281,1383,11.1346
282,1383,11.1566
283,1383,11.1841
284,1383,11.2115
285,1383,11.2335
286,1383,11.261
287,1383,11.283
288,1383,11.3104
289,1383,11.3324
290,1383,11.3599
291,1383,11.3818
292,1383,11.4093
293,1383,11.4313
294,1383,11.4587
295,1383,11.4807
296,1383,11.5082
297,1496,11.5302
298,1496,11.5521
299,1496,11.5741
300,1496,11.5961
301,1496,11.618
302,1496,11.64
303,1496,11.662
304,1496,11.6785
305,1496,11.7059
306,1496,11.7279
307,1496,11.7499
308,1496,11.7664
309,1496,11.7883
310,1496,11.8103
311,1496,11.8323
312,1496,11.8542
313,1496,11.8762
314,1496,11.8927
315,1496,11.9147
316,1496,11.9366
317,1496,11.9531
318,1496,11.9751
319,1611,11.9916
320,1611,12.0135
321,1611,12.03
322,1611,12.0465
323,1611,12.0685
324,1611,12.085
325,1611,12.041
326,1611,12.0026
327,1611,11.9641
328,1611,11.9257
329,1611,11.8597
330,1611,11.7993
331,1611,11.7334
332,1611,11.673
333,1611,11.6125
334,1611,11.5466
335,1611,11.4862
336,1611,11.4203
337,1611,11.3599
338,1611,11.2994
339,1611,11.2335
340,1611,11.1731
341,1611,11.1072
342,1722,11.0413
343,1723,10.9808
344,1723,10.9149
345,1723,10.8545
346,1723,10.7886
347,1723,10.7281
348,1723,10.6677
349,1723,10.6073
350,1723,10.5469
351,1723,10.481
352,1723,10.4205
353,1723,10.3601
354,1723,10.2997
355,1723,10.2393
356,1723,10.1843
