k,time,angle
1,22,0
2,22,0
3,22,0
4,22,0
5,22,0
6,22,0
7,22,0
8,23,0
9,23,0
10,23,0
11,23,0
12,23,0
13,23,0
14,23,0
15,23,0
16,23,0
17,23,0
18,23,0
19,23,0
20,23,0
21,23,0
22,23,0
23,23,0
24,135,0
25,135,0
26,135,0
27,135,0
28,135,0
29,135,0
30,135,0
31,135,0
32,135,0
33,135,0
34,135,0
35,135,0
36,136,0
37,136,0
38,136,0
39,136,0
40,136,0
41,136,0
42,136,0
43,136,0
44,136,0
45,136,0
46,250,0
47,250,0
48,250,0
49,250,0
50,250,0
51,250,0
52,250,0
53,250,0
54,250,0
55,250,0
56,250,0
57,250,0
58,250,0
59,250,0
60,251,0
61,251,0
62,251,0
63,251,0
64,251,0
65,251,0
66,251,0
67,251,0
68,251,0.00549316
69,361,0.00549316
70,361,0.00549316
71,361,0
72,361,0
73,361,0
74,361,0
75,361,0
76,361,0
77,361,0
78,361,0
79,361,0
80,361,0
81,361,0
82,362,0
83,362,0
84,362,0.00549316
85,362,0.00549316
86,362,0.00549316
87,362,0.00549316
88,362,0.00549316
89,362,0.00549316
90,362,0.00549316
91,362,0.00549316
92,474,0.00549316
93,475,0.00549316
94,475,0.00549316
95,475,0.00549316
96,475,0
97,475,0
98,475,0
99,475,0
100,475,0
101,475,0
102,475,0
103,475,0
104,475,0
105,475,0
106,475,0
107,475,0
108,475,0
109,475,0
110,475,0
111,475,0
112,475,0
113,475,0
114,589,0
115,589,0
116,589,0
117,589,0
118,589,0
119,589,0
120,589,0
121,589,0
122,589,0
123,589,0
124,589,0
125,589,0
126,589,0
127,589,0.181274
128,589,0.357056
129,589,0.53833
130,589,0.714111
131,589,0.928345
132,589,1.13708
133,589,1.35132
134,590,1.56555
135,590,1.7688
136,590,1.97754
137,704,2.18079
138,704,2.38953
139,704,2.59827
140,704,2.8125
141,704,3.02673
142,704,3.23547
143,704,3.46069
144,704,3.68591
145,704,3.90564
146,704,4.13086
147,704,4.35608
148,704,4.5813
149,704,4.80652
150,704,5.02625
151,704,5.25696
152,704,5.48767
153,704,5.71838
154,705,5.9436
155,705,6.16882
156,705,6.39954
157,705,6.62476
158,705,6.84998
159,705,7.0697
160,816,7.28394
161,816,7.50366
162,816,7.7179
163,816,7.93213
164,816,8.14636
165,816,8.3606
166,816,8.57483
167,816,8.77258
168,816,8.97034
169,816,9.17358
170,816,9.37134
171,816,9.55261
172,816,9.73938
173,816,9.92065
174,816,10.1019
175,816,10.2667
176,816,10.437
177,816,10.6018
178,816,10.7666
179,816,10.9259
180,816,11.0797
181,816,11.2335
182,816,11.3873
183,929,11.5356
184,929,11.684
185,929,11.8323
186,929,11.9751
187,929,12.1234
188,929,12.2717
189,929,12.4146
190,929,12.5629
191,929,12.7057
192,929,12.854
193,929,12.9968
194,929,13.1396
195,929,13.2825
196,929,13.4253
197,929,13.5681
198,929,13.7054
199,929,13.8483
200,929,13.9911
201,929,14.1284
202,929,14.2712
203,929,14.4086
204,930,14.5459
205,1043,14.6887
206,1043,14.826
207,1043,14.9524
208,1043,15.0787
209,1043,15.2051
210,1043,15.3314
211,1044,15.4468
212,1044,15.5676
213,1044,15.683
214,1044,15.7983
215,1044,15.9027
216,1044,16.0071
217,1044,16.1115
218,1044,16.2103
219,1044,16.3147
220,1044,16.4136
221,1044,16.5125
222,1044,16.6113
223,1044,16.7102
224,1044,16.8091
225,1044,16.9025
226,1044,16.9958
227,1044,17.0837
228,1155,17.1716
229,1155,17.254
230,1155,17.3364
231,1155,17.4133
232,1155,17.4847
233,1155,17.5616
234,1155,17.6331
235,1155,17.71
236,1155,17.7814
237,1155,17.8583
238,1155,17.9187
239,1155,17.9736
240,1155,18.0341
241,1155,18.089
242,1155,18.1439
243,1155,18.1934
244,1155,18.2428
245,1155,18.2922
246,1155,18.3362
247,1155,18.3746
248,1155,18.4186
249,1155,18.457
250,1155,18.49
251,1268,18.5175
252,1268,18.5504
253,1268,18.5779
254,1268,18.5999
255,1268,18.6163
256,1268,18.6328
257,1269,18.6438
258,1269,18.6658
259,1269,18.6877
