k,time,angle
1,24,0
2,24,0
3,25,0
4,25,0
5,25,0
6,25,0
7,25,0
8,25,0
9,25,0
10,25,0
11,25,0
12,25,0
13,25,0
14,25,0
15,25,0
16,25,0
17,25,0
18,25,0
19,25,0
20,25,0
21,25,0
22,26,0
23,26,0
24,137,0
25,137,0
26,137,0
27,137,0
28,137,0.00549316
29,137,0.00549316
30,137,0.00549316
31,137,0.00549316
32,137,0.00549316
33,137,0.00549316
34,137,0.00549316
35,138,0.00549316
36,138,0.00549316
37,138,0.00549316
38,138,0.00549316
39,138,0.00549316
40,138,0.00549316
41,138,0.00549316
42,138,0.00549316
43,138,0.00549316
44,138,0.00549316
45,140,0.00549316
46,252,0.00549316
47,252,0.00549316
48,252,0.00549316
49,252,0.00549316
50,252,0.00549316
51,252,0.00549316
52,252,0.00549316
53,252,0.00549316
54,252,0.00549316
55,252,0.00549316
56,252,0.00549316
57,252,0.00549316
58,252,0.00549316
59,252,0.00549316
60,252,0.00549316
61,252,0.00549316
62,252,0.00549316
63,253,0.00549316
64,253,0.00549316
65,253,0.00549316
66,253,0.00549316
67,253,0.00549316
68,253,0.00549316
69,364,0.00549316
70,364,0.00549316
71,364,0.00549316
72,364,0.00549316
73,364,0.00549316
74,364,0.00549316
75,364,0.00549316
76,364,0.00549316
77,364,0.00549316
78,364,0.00549316
79,364,0.00549316
80,364,0.00549316
81,364,0.00549316
82,364,0.00549316
83,364,0.00549316
84,364,0.00549316
85,364,0.00549316
86,364,0.00549316
87,364,0.00549316
88,364,0.00549316
89,364,0.00549316
90,364,0.00549316
91,364,0.00549316
92,477,0.00549316
93,477,0.00549316
94,477,0.00549316
95,477,0.00549316
96,477,0
97,477,0
98,477,0
99,477,0.00549316
100,477,0.00549316
101,477,0.00549316
102,477,0.00549316
103,477,0.00549316
104,478,0.00549316
105,478,0.00549316
106,478,0.00549316
107,478,0.00549316
108,478,0.00549316
109,478,0.00549316
110,478,0.00549316
111,478,0.00549316
112,478,0.00549316
113,478,0.00549316
114,591,0.00549316
115,592,0.00549316
116,592,0.00549316
117,592,0.00549316
118,592,0.00549316
119,592,0.00549316
120,592,0.00549316
121,592,0.00549316
122,592,0.00549316
123,592,0.00549316
124,592,0.00549316
125,592,0.12085
126,592,0.241699
127,592,0.357056
128,592,0.472412
129,592,0.703125
130,592,0.933838
131,592,1.16455
132,592,1.39526
133,592,1.63147
134,592,1.86218
135,592,2.0929
136,592,2.32361
137,706,2.54883
138,706,2.77954
139,706,3.00476
140,706,3.22998
141,706,3.47168
142,706,3.70789
143,707,3.94409
144,707,4.1803
145,707,4.4165
146,707,4.6582
147,707,4.8999
148,707,5.13611
149,707,5.37781
150,707,5.61951
151,707,5.86121
152,707,6.10291
153,707,6.33362
154,707,6.56433
155,707,6.79504
156,707,7.02026
157,707,7.24548
158,707,7.4762
159,707,7.70142
160,818,7.92114
161,818,8.14087
162,818,8.3551
163,818,8.57483
164,818,8.78906
165,818,8.98682
166,818,9.19006
167,818,9.38782
168,818,9.59106
169,818,9.78333
170,818,9.97009
171,818,10.1624
172,818,10.3546
173,818,10.5304
174,818,10.7062
175,818,10.8875
176,818,11.0632
177,818,11.2225
178,818,11.3873
179,818,11.5466
180,818,11.7114
181,818,11.8652
182,818,12.019
183,931,12.1674
184,931,12.3212
185,931,12.464
186,931,12.6068
187,931,12.7441
188,931,12.887
189,931,13.0298
190,931,13.1726
191,931,13.3154
192,931,13.4528
193,931,13.6011
194,931,13.7384
195,931,13.8812
196,931,14.024
197,931,14.1669
198,931,14.3097
199,931,14.4525
200,931,14.5898
201,931,14.7327
202,931,14.87
203,931,15.0128
204,931,15.1501
205,1046,15.282
206,1046,15.4193
207,1046,15.5511
208,1046,15.683
209,1046,15.8148
210,1046,15.9467
211,1046,16.073
212,1046,16.2048
213,1046,16.3257
214,1046,16.452
215,1046,16.5729
216,1047,16.6937
217,1047,16.8036
218,1047,16.9189
219,1047,17.0288
220,1047,17.1442
221,1047,17.243
222,1047,17.3419
223,1047,17.4408
224,1047,17.5397
225,1047,17.6331
226,1047,17.7264
227,1047,17.8198
228,1157,17.9132
229,1157,17.9901
230,1157,18.0725
231,1157,18.1494
232,1157,18.2318
233,1158,18.3087
234,1158,18.3856
235,1158,18.457
236,1158,18.5339
237,1158,18.6053
238,1158,18.6768
239,1158,18.7482
240,1158,18.8141
241,1158,18.8745
242,1158,18.9349
243,1158,18.9954
244,1158,19.0558
245,1158,19.1162
246,1158,19.1711
247,1158,19.2261
248,1158,19.281
249,1158,19.3304
250,1158,19.3854
251,1270,19.4348
252,1270,19.4788
253,1270,19.5282
254,1270,19.5721
255,1270,19.6161
256,1270,19.66
257,1271,19.693
258,1271,19.7314
259,1271,19.7644
260,1271,19.7974
261,1271,19.8248
262,1271,19.8523
263,1271,19.8798
264,1271,19.9072
265,1271,19.9237
266,1271,19.9457
267,1271,19.9622
268,1271,19.9786
269,1271,19.9951
270,1271,20.0061
271,1271,20.0171
272,1271,20.0226
273,1385,20.0336
274,1385,20.0446
275,1385,20.0555
276,1385,20.061
277,1385,20.061
278,1385,20.061
279,1385,20.061
280,1385,20.0555
281,1385,20.05
282,1385,20.0391
283,1385,20.0281
284,1385,20.0116
285,1385,19.9951
286,1385,19.9786
287,1386,19.9622
288,1386,19.9457
289,1386,19.9237
290,1386,19.9072
291,1386,19.8853
292,1386,19.8578
293,1386,19.8303
294,1386,19.8029
295,1386,19.7754
296,1497,19.7424
297,1497,19.715
298,1497,19.682
299,1497,19.649
300,1497,19.6106
301,1497,19.5721
302,1497,19.5337
303,1497,19.4897
304,1497,19.4513
305,1497,19.4128
306,1497,19.3744
307,1497,19.3304
308,1497,19.2975
309,1497,19.259
310,1497,19.2261
311,1497,19.1876
312,1497,19.1492
313,1497,19.1052
314,1497,19.0668
315,1497,19.0228
316,1497,18.9789
317,1497,18.9294
318,1497,18.8855
319,1610,18.8361
320,1610,18.7866
321,1610,18.7372
322,1610,18.6823
323,1610,18.6328
324,1610,18.5065
325,1610,18.3801
326,1610,18.2538
327,1611,18.1274
328,1611,17.9736
329,1611,17.8253
330,1611,17.677
331,1611,17.5287
332,1611,17.3749
333,1611,17.2266
334,1611,17.0728
335,1611,16.9244
336,1611,16.7761
337,1611,16.6278
338,1611,16.4795
339,1611,16.3312
340,1611,16.1774
341,1725,16.0291
342,1725,15.8752
343,1725,15.7269
