k,time,angle
1,1,0
2,1,0
3,1,0
4,1,0
5,1,0
6,1,0
7,1,0
8,1,0
9,1,0
10,1,0
11,1,0
12,1,0
13,1,0
14,1,0
15,1,0
16,1,0
17,2,0
18,2,0
19,2,0
20,2,0
21,2,0
22,2,0
23,2,0
24,114,0
25,114,0
26,114,0
27,114,0
28,114,0
29,114,0
30,114,0
31,114,0
32,114,0
33,114,0
34,114,0
35,114,0
36,114,0
37,114,0
38,114,0
39,114,0
40,114,0
41,115,0
42,115,0
43,115,0
44,115,0
45,115,0
46,228,0
47,228,0
48,228,0
49,229,0
50,229,0
51,229,0
52,229,0
53,229,0
54,229,0
55,229,0
56,229,0
57,229,0
58,229,0
59,229,0
60,229,0
61,229,0
62,231,0
63,231,0
64,231,0
65,232,0
66,232,0
67,232,0
68,232,0
69,340,0
70,340,0
71,340,0
72,340,0
73,340,0
74,340,0
75,340,0
76,340,0
77,340,0
78,340,0
79,340,0
80,340,0
81,340,0
82,340,0
83,340,0
84,340,0
85,340,0
86,340,0
87,340,0
88,340,0
89,341,0
90,341,0
91,341,0
92,453,0
93,453,0
94,453,0
95,453,0
96,453,0
97,453,0
98,453,0
99,453,0
100,453,0
101,453,0
102,453,0
103,453,0
104,453,0
105,453,0
106,453,0
107,453,0
108,453,0
109,453,0
110,453,0
111,453,0
112,454,0
113,454,0
114,568,0
115,568,0
116,568,0
117,568,0
118,568,0
119,568,0
120,568,0
121,568,0
122,568,0
123,568,0
124,568,0
125,568,0
126,569,0
127,569,0
128,569,0
129,569,0.0109863
130,569,0.0219727
131,569,0.0274658
132,569,0.0384521
133,569,0.065918
134,569,0.0933838
135,569,0.12085
136,569,0.142822
137,683,0.175781
138,683,0.203247
139,683,0.236206
140,683,0.263672
141,683,0.296631
142,683,0.324097
143,683,0.357056
144,683,0.384521
145,683,0.411987
146,683,0.439453
147,683,0.472412
148,683,0.499878
149,683,0.527344
150,683,0.560303
151,683,0.587769
152,683,0.620728
153,683,0.648193
154,683,0.681152
155,683,0.708618
156,683,0.736084
157,683,0.76355
158,683,0.785522
159,683,0.812988
160,794,0.834961
161,794,0.856934
162,794,0.884399
163,794,0.906372
164,794,0.928345
165,795,0.950317
166,795,0.966797
167,795,0.98877
168,795,1.01074
169,795,1.03821
170,795,1.06018
171,795,1.08215
172,795,1.10962
173,795,1.13159
174,795,1.15356
175,795,1.17004
176,795,1.19202
177,795,1.21399
