k,time,angle
1,16,0
2,16,0
3,16,0
4,16,0
5,16,0
6,16,0
7,16,0
8,16,0
9,17,0
10,17,0
11,17,0
12,17,0
13,17,0
14,17,0
15,17,0
16,17,0
17,17,0
18,17,0
19,17,0
20,17,0
21,17,0
22,17,0
23,17,0
24,129,0
25,129,0
26,129,0
27,129,0
28,129,0
29,129,0
30,129,0
31,129,0
32,129,0
33,129,0
34,129,0
35,129,0
36,129,0
37,129,0
38,130,0
39,130,0
40,130,0
41,130,0
42,130,0
43,130,0
44,130,0
45,130,0
46,244,0
47,244,0
48,244,0
49,244,0
50,244,0
51,244,0
52,244,0
53,244,0
54,244,0
55,244,0
56,244,0
57,244,0
58,244,0
59,244,0
60,246,0
61,246,0
62,246,0
63,246,0
64,246,0
65,246,0
66,246,-0.00549316
67,246,-0.00549316
68,246,-0.00549316
69,356,0
70,356,0
71,356,0
72,356,0
73,356,0
74,356,0
75,356,0
76,356,0
77,356,0
78,356,0
79,356,0
80,356,0
81,356,0
82,356,0
83,356,0
84,356,0
85,356,0
86,356,0
87,356,-0.00549316
88,356,-0.00549316
89,356,-0.00549316
90,356,0
91,356,0
92,468,0
93,468,0
94,468,0
95,469,0
96,469,-0.00549316
97,469,-0.00549316
98,469,-0.00549316
99,469,-0.00549316
100,469,-0.00549316
101,469,-0.00549316
102,469,0
103,469,0
104,469,0
105,469,0
106,469,0
107,469,-0.00549316
108,469,0
109,469,0
110,469,0
111,469,0
112,469,0
113,469,0
114,583,0
115,584,0
116,584,0
117,584,0
118,584,-0.00549316
119,584,-0.00549316
120,584,-0.00549316
121,584,0
122,584,0
123,584,0
124,584,0.0274658
125,584,0.0604248
126,584,0.0933838
127,584,0.12085
128,584,0.31311
129,584,0.505371
130,584,0.697632
131,584,0.889893
132,584,1.09314
133,584,1.29089
134,584,1.48865
135,584,1.6864
136,584,1.89514
137,698,2.09839
138,698,2.29614
139,698,2.49939
140,698,2.71912
141,698,2.93335
142,698,3.15308
143,698,3.36731
144,698,3.59802
145,698,3.82874
146,698,4.05396
147,698,4.28467
148,698,4.50989
149,698,4.7406
150,698,4.96582
151,698,5.19104
152,698,5.41626
153,698,5.63599
154,698,5.86121
155,698,6.08643
156,698,6.29517
157,698,6.50391
158,698,6.71265
159,698,6.92688
160,810,7.12463
161,810,7.32239
162,810,7.52563
163,810,7.72339
164,810,7.91016
165,810,8.09692
166,810,8.28369
167,810,8.46497
168,810,8.64075
169,810,8.81653
170,810,8.98682
171,810,9.1571
172,810,9.3219
173,810,9.4812
174,810,9.6405
