k,time,angle
1,112,0
2,112,0
3,112,0
4,112,0
5,112,0
6,112,0
7,112,0
8,112,0
9,112,0
10,112,0
11,112,0
12,112,0
13,112,0
14,113,0
15,113,0
16,113,0
17,113,0
18,113,0
19,113,0
20,113,0
21,113,0
22,113,0
23,113,0
24,226,0
25,227,0
26,227,0
27,227,0
28,227,0
29,227,0
30,227,0
31,227,0
32,227,0
33,227,0
34,227,0
35,227,0
36,227,0
37,227,0
38,227,0
39,227,0
40,227,0
41,227,0
42,227,0
43,227,0
44,227,0
45,228,0
46,228,0
47,336,0
48,336,0
49,336,0
50,336,0
51,337,0
52,337,0
53,337,0
54,337,0
55,337,0
56,337,0
57,337,0
58,337,0
59,338,0
60,338,0
61,338,0
62,338,0
63,338,0
64,338,0
65,338,0
66,338,0
67,338,0
68,338,0
69,451,0
70,452,0
71,452,0
72,452,0
73,452,0
74,452,0
75,452,0
76,452,0
77,452,0
78,452,0
79,452,0
80,452,0
81,452,0
82,452,0
83,452,0
84,452,0
85,452,0
86,452,0
87,452,0
88,452,0
89,452,0
90,452,0
91,452,0
92,566,0
93,566,0
94,566,0
95,566,0
96,566,0
97,566,0
98,566,0
99,567,0
100,567,0
101,567,0
102,567,0
103,567,0
104,567,0
105,567,0
106,567,0.00549316
107,567,0.00549316
108,567,0.0109863
109,567,0.0109863
110,567,0.126343
111,567,0.241699
112,567,0.357056
113,567,0.472412
114,567,0.582275
115,677,0.697632
116,678,0.812988
117,678,0.928345
118,678,1.0437
119,678,1.15906
120,678,1.26892
121,678,1.38428
122,678,1.50513
123,678,1.62598
124,678,1.74683
125,678,1.86768
126,678,1.99402
127,678,2.12036
128,678,2.24121
129,678,2.36755
130,678,2.4884
131,678,2.61475
132,678,2.74109
133,678,2.86194
134,678,2.98279
135,678,3.10364
136,678,3.22449
137,678,3.33984
138,791,3.4552
139,791,3.56506
140,791,3.67493
141,791,3.78479
142,791,3.88367
143,791,3.98254
144,791,4.08142
145,791,4.1803
146,791,4.27917
147,791,4.37256
148,791,4.46594
149,791,4.55933
150,791,4.64722
151,791,4.73511
152,791,4.8175
153,791,4.9054
154,791,4.98779
155,791,5.07019
156,791,5.15259
157,791,5.23499
158,791,5.31189
159,791,5.38879
160,905,5.4657
161,906,5.53711
162,906,5.61401
163,906,5.68542
164,906,5.75684
165,906,5.82825
166,906,5.89417
167,906,5.96008
168,906,6.026
169,906,6.09192
170,906,6.15784
171,906,6.22375
172,906,6.28418
173,906,6.3501
174,906,6.41602
175,906,6.48193
176,906,6.54785
177,906,6.61377
178,906,6.67969
179,906,6.7511
180,906,6.81702
181,906,6.88843
182,906,6.94885
183,1017,7.01477
184,1017,7.0752
185,1017,7.14111
186,1017,7.20154
187,1017,7.26746
188,1017,7.32788
189,1017,7.3938
190,1017,7.45422
191,1017,7.51465
192,1017,7.57507
193,1017,7.63
194,1017,7.69043
195,1017,7.75085
196,1017,7.81128
197,1018,7.8717
198,1018,7.93213
199,1018,7.99255
200,1018,8.05298
201,1018,8.1134
202,1018,8.17383
203,1018,8.22876
204,1018,8.28918
205,1018,8.34412
206,1130,8.40454
207,1130,8.45947
208,1130,8.5144
209,1130,8.56934
210,1130,8.62427
211,1130,8.68469
212,1130,8.73962
213,1130,8.79456
214,1130,8.85498
215,1130,8.90991
216,1130,8.96484
217,1130,9.01978
218,1130,9.07471
219,1130,9.12964
220,1130,9.18457
221,1130,9.2395
222,1131,9.28894
223,1131,9.34387
224,1131,9.39331
225,1131,9.44275
226,1131,9.49219
227,1131,9.54712
228,1245,9.59656
229,1245,9.646
230,1245,9.69543
231,1245,9.74487
232,1245,9.79431
233,1245,9.84375
234,1245,9.8877
235,1245,9.93713
236,1245,9.98657
237,1245,10.036
238,1245,10.08
239,1245,10.1294
240,1245,10.1788
241,1245,10.2228
242,1245,10.2667
243,1245,10.3107
244,1245,10.3546
245,1245,10.3986
246,1245,10.4425
247,1245,10.481
248,1245,10.5194
249,1245,10.5634
250,1245,10.6018
251,1360,10.6403
252,1360,10.6787
253,1360,10.7172
254,1360,10.7501
255,1360,10.7831
256,1360,10.8215
257,1360,10.8545
258,1360,10.8875
259,1360,10.9204
260,1360,10.9534
261,1360,10.9863
262,1360,11.0193
263,1360,11.0468
264,1360,11.0797
265,1360,11.1072
266,1360,11.1346
267,1360,11.1621
268,1360,11.1896
269,1360,11.217
270,1360,11.2445
271,1360,11.2665
272,1360,11.2939
273,1360,11.3159
274,1471,11.3434
275,1471,11.3654
276,1471,11.3873
277,1471,11.4148
278,1471,11.4368
279,1471,11.4587
280,1472,11.4807
281,1472,11.5027
282,1472,11.5302
283,1472,11.5521
284,1472,11.5741
285,1472,11.6016
286,1472,11.6235
287,1472,11.6455
288,1472,11.6675
289,1472,11.6895
290,1472,11.7114
291,1472,11.7334
292,1472,11.7499
293,1472,11.7719
294,1472,11.7938
295,1472,11.8103
296,1472,11.8323
297,1584,11.8542
298,1584,11.8707
299,1584,11.8927
300,1584,11.9147
301,1584,11.9366
302,1584,11.9531
303,1584,11.9751
304,1584,11.9971
305,1584,12.0135
306,1584,12.0081
307,1584,12.0026
308,1585,11.9971
309,1585,11.9861
310,1585,11.9257
311,1585,11.8652
312,1585,11.8048
313,1585,11.7444
314,1585,11.684
315,1585,11.6235
316,1585,11.5631
317,1585,11.5027
318,1585,11.4423
319,1699,11.3818
320,1699,11.3214
321,1699,11.261
322,1699,11.2006
323,1699,11.1401
324,1699,11.0797
325,1699,11.0193
326,1699,10.9589
327,1699,10.8984
328,1699,10.838
329,1699,10.7776
330,1699,10.7172
331,1700,10.6622
332,1700,10.6018
333,1700,10.5414
334,1700,10.481
335,1700,10.426
336,1700,10.3656
337,1700,10.3107
338,1700,10.2502
339,1700,10.1953
340,1700,10.1349
341,1700,10.08
342,1811,10.0195
343,1811,9.9646
344,1811,9.90417
345,1811,9.84924
346,1811,9.78882
347,1811,9.73389
348,1811,9.67346
349,1811,9.61853
350,1811,9.5636
351,1811,9.50317
352,1811,9.44824
353,1811,9.38782
354,1811,9.33289
355,1811,9.27795
356,1811,9.21753
357,1811,9.1626
358,1811,9.10767
359,1811,9.05273
360,1811,8.9978
361,1811,8.94287
362,1811,8.88794
363,1811,8.83301
364,1811,8.77808
365,1924,8.72314
366,1924,8.66821
367,1924,8.61328
368,1924,8.56384
369,1924,8.50891
370,1924,8.45398
371,1924,8.39905
372,1924,8.34961
373,1924,8.29468
374,1924,8.23975
375,1924,8.18481
376,1924,8.13538
377,1924,8.08044
378,1924,8.02551
379,1924,7.97607
380,1925,7.92114
381,1925,7.8717
382,1925,7.81677
383,1925,7.76184
384,1925,7.7124
385,1925,7.65747
386,1925,7.60803
