k,time,angle
1,10,0
2,11,0
3,11,0
4,11,0
5,11,0
6,11,0
7,11,0
8,11,0
9,11,0
10,11,0
11,11,0
12,11,0
13,11,0
14,12,0
15,12,0
16,12,0
17,12,0
18,12,0
19,12,0
20,12,0
21,12,0
22,12,0
23,125,0
24,125,0
25,125,0
26,125,0
27,125,0
28,126,0
29,126,0
30,126,0
31,126,0
32,126,0
33,126,0
34,126,0
35,126,0
36,126,0
37,126,0
38,126,0
39,126,0
40,126,0
41,126,0
42,126,0
43,126,0
44,126,0
45,126,0
46,237,0
47,237,0
48,237,0
49,237,0
50,237,0
51,237,0
52,237,0
53,237,0
54,237,0
55,237,0
56,237,0
57,237,0
58,237,0
59,238,0
60,240,0
61,240,0
62,240,0
63,240,0
64,240,0
65,240,0
66,240,0
67,240,0
68,240,0
69,350,0
70,350,0
71,350,0
72,350,0
73,350,0
74,350,0
75,350,0
76,350,0
77,350,0
78,350,0
79,350,0
80,350,0
81,350,0
82,350,0
83,350,0
84,350,0
85,350,0
86,350,0
87,350,0
88,350,0
89,350,0
90,350,0
91,465,0
92,465,0
93,465,0
94,465,0
95,465,-0.00549316
96,465,-0.00549316
97,465,-0.00549316
98,465,-0.00549316
99,465,0
100,465,0
101,465,0
102,465,-0.00549316
103,465,-0.00549316
104,465,-0.00549316
105,465,-0.00549316
106,465,-0.00549316
107,465,-0.00549316
108,465,-0.00549316
109,465,-0.00549316
110,465,-0.00549316
111,465,-0.00549316
112,465,-0.00549316
113,465,-0.00549316
114,576,-0.00549316
115,576,-0.00549316
116,576,-0.00549316
117,576,-0.00549316
118,576,-0.00549316
119,576,-0.00549316
120,576,-0.00549316
121,576,-0.00549316
122,576,-0.00549316
123,577,-0.00549316
124,577,-0.00549316
125,577,-0.00549316
126,577,-0.00549316
127,577,-0.00549316
128,577,-0.00549316
129,577,0.346069
130,577,0.692139
131,577,1.0437
132,577,1.39526
133,577,-9.4812
134,577,-22.2089
135,577,-36.4911
136,577,-51.4105
137,689,-65.7202
138,689,-78.4753
139,689,-89.3738
140,689,-98.5693
141,689,-106.408
142,689,-113.516
143,689,-119.938
144,690,-126.123
145,690,-133.215
146,690,142.877
147,690,44.3024
148,690,37.1942
149,690,31.0583
150,690,24.7192
151,690,17.7484
152,690,9.78882
153,690,0.461426
154,690,-10.5634
155,690,-23.4393
156,690,-37.8094
157,690,-52.7069
158,690,-66.8903
159,804,-79.4751
160,804,-90.2032
161,804,-99.256
162,804,-106.99
163,804,-114.005
164,804,-120.366
165,804,-126.513
166,804,-133.676
167,804,83.6499
168,804,43.2697
169,804,36.5021
170,805,30.4102
171,805,24.0546
172,805,17.0288
173,805,8.97034
174,805,-0.477905
175,805,-11.6565
176,805,-24.6643
177,805,-39.1058
178,805,-53.9703
179,805,-68.0164
180,805,-80.4254
181,805,-90.9833
182,919,-99.8987
183,919,-107.523
184,919,-114.45
185,919,-120.729
186,919,-126.804
187,919,-133.956
188,919,62.9132
189,919,42.1875
190,919,35.744
191,919,29.718
192,919,23.3459
193,919,16.2598
194,919,8.10791
195,919,-1.46667
196,919,-12.7881
197,919,-25.9222
198,920,-40.4132
199,920,-55.2118
200,920,-69.1095
201,920,-81.3373
202,920,-91.7194
203,920,-100.492
204,920,-108.001
205,1031,-114.824
206,1031,-121.003
207,1031,-126.947
208,1031,-133.885
209,1031,53.5913
210,1031,40.9735
211,1031,34.8761
212,1031,28.927
213,1031,22.5494
214,1031,15.4138
215,1031,7.16858
216,1031,-2.52686
217,1031,-13.9856
218,1031,-27.2296
219,1031,-41.748
220,1031,-56.4587
221,1031,-70.1807
222,1031,-82.1997
223,1032,-92.406
224,1032,-101.025
225,1032,-108.408
226,1032,-115.104
227,1032,-121.146
228,1143,-126.876
229,1143,-133.204
230,1144,47.5873
231,1144,39.5728
232,1144,33.8599
233,1144,28.0096
234,1144,21.6431
235,1144,14.4525
236,1144,6.12488
237,1144,-3.6969
238,1144,-15.282
239,1144,-28.6139
240,1144,-43.1213
241,1144,-57.7057
242,1144,-71.2244
243,1144,-83.0237
244,1144,-93.0322
245,1144,-101.486
246,1144,-108.732
247,1144,-115.269
248,1144,-121.119
249,1144,-126.491
250,1258,-131.462
251,1258,42.7863
252,1259,37.9468
253,1259,32.6569
254,1259,26.933
255,1259,20.5884
256,1259,13.3594
257,1259,4.93835
258,1259,-4.99329
259,1259,-16.6937
260,1259,-30.0861
261,1259,-44.5496
262,1259,-58.9691
263,1259,-72.2461
264,1259,-83.8037
265,1259,-83.6554
266,1259,-83.5071
267,1259,-83.3588
268,1259,-83.2104
269,1259,-83.0676
270,1259,-82.9193
271,1259,-82.7765
272,1259,-82.6337
273,1370,-82.4854
274,1370,-82.3425
275,1370,-82.1942
276,1370,-82.0514
277,1370,-81.9086
278,1370,-81.7657
279,1370,-81.6229
280,1370,-81.4801
281,1370,-81.3373
282,1370,-81.1945
283,1370,-81.0516
284,1370,-80.9088
285,1370,-80.766
286,1370,-80.6177
287,1370,-80.4749
288,1370,-80.3265
289,1370,-80.1837
290,1370,-80.0354
291,1370,-79.8926
292,1370,-79.7443
293,1370,-79.6014
294,1370,-79.4531
295,1370,-79.3103
296,1483,-79.162
297,1483,-79.0137
298,1483,-78.8708
299,1483,-78.7225
300,1483,-78.5797
301,1483,-78.4314
302,1483,-78.2886
303,1483,-78.1458
304,1483,-78.0029
305,1483,-77.8601
306,1483,-77.7173
307,1483,-77.5745
308,1483,-77.4316
309,1483,-77.2888
310,1483,-77.146
311,1483,-76.9977
312,1483,-76.8549
313,1483,-76.7175
314,1483,-76.5747
315,1483,-76.4319
316,1483,-76.2836
317,1483,-76.1407
318,1598,-75.9979
319,1598,-75.8551
320,1598,-75.7068
321,1598,-75.564
322,1598,-75.4156
323,1598,-75.2728
324,1598,-75.13
325,1598,-74.9817
326,1598,-74.8389
327,1598,-74.696
328,1598,-74.5532
329,1598,-74.4104
330,1598,-74.2676
331,1598,-74.1248
332,1598,-73.9819
333,1598,-73.8391
334,1598,-73.6963
335,1598,-73.5535
336,1598,-73.4161
337,1598,-73.2733
338,1598,-73.1305
339,1598,-72.9932
340,1598,-72.8503
