k,time,angle
1,16,0
2,17,0
3,17,0
4,17,0
5,17,0
6,17,0
7,17,0
8,17,0
9,17,0
10,17,0
11,17,0
12,17,0
13,17,0
14,17,0
15,17,0
16,17,0
17,17,0
18,17,0
19,18,0
20,18,0
21,18,0
22,18,0
23,18,0
24,131,0
25,132,0
26,132,0
27,132,0
28,132,0
29,132,0
30,132,0
31,132,0
32,132,0
33,132,0
34,132,0
35,132,0
36,132,0
37,132,0
38,132,0
39,132,0
40,132,0
41,132,0
42,132,0
43,132,0
44,132,0
45,133,0
46,133,0
47,243,0
48,243,0
49,243,0
50,243,0
51,243,0
52,243,0
53,243,-0.00549316
54,243,-0.00549316
55,243,-0.00549316
56,243,-0.00549316
57,245,-0.00549316
58,245,-0.00549316
59,245,-0.00549316
60,245,-0.00549316
61,245,-0.00549316
62,245,-0.00549316
63,245,-0.00549316
64,245,-0.00549316
65,245,-0.00549316
66,245,-0.00549316
67,245,-0.00549316
68,245,-0.00549316
69,245,-0.00549316
70,356,-0.00549316
71,356,-0.00549316
72,356,-0.00549316
73,356,-0.00549316
74,356,-0.00549316
75,356,-0.00549316
76,356,-0.00549316
77,356,-0.00549316
78,356,-0.00549316
79,356,-0.00549316
80,356,-0.00549316
81,356,-0.00549316
82,356,-0.00549316
83,356,-0.00549316
84,356,-0.00549316
85,356,-0.00549316
86,356,-0.00549316
87,356,-0.00549316
88,356,-0.00549316
89,356,-0.00549316
90,356,-0.00549316
91,356,-0.00549316
92,471,-0.00549316
93,471,-0.00549316
94,471,-0.00549316
95,471,-0.00549316
96,471,-0.00549316
97,471,-0.00549316
98,471,-0.00549316
99,471,-0.00549316
100,471,-0.00549316
101,471,-0.00549316
102,471,-0.00549316
103,471,-0.00549316
104,471,-0.00549316
105,471,-0.00549316
106,471,-0.00549316
107,471,-0.00549316
108,471,-0.00549316
109,471,-0.00549316
110,471,-0.00549316
111,471,-0.00549316
112,471,-0.00549316
113,471,-0.00549316
114,471,-0.00549316
115,582,-0.00549316
116,582,-0.00549316
117,582,-0.00549316
118,582,-0.00549316
119,582,-0.00549316
120,582,-0.00549316
121,582,-0.00549316
122,582,-0.00549316
123,583,-0.00549316
124,583,-0.00549316
125,583,-0.00549316
126,583,0
127,583,0
128,583,0
129,583,0.181274
130,583,0.357056
131,583,0.53833
132,583,0.708618
133,583,0.895386
134,583,1.08215
135,583,1.26892
136,583,1.45569
137,583,1.63147
138,695,1.81274
139,695,1.99402
140,695,2.17529
141,695,2.36206
142,695,2.55432
143,695,2.74658
144,695,2.93335
145,696,3.1366
146,696,3.33435
147,696,3.5321
148,696,3.72437
149,696,3.92761
150,696,4.12537
151,696,4.32312
152,696,4.52087
153,696,4.71863
154,696,4.91089
155,696,5.10315
156,696,5.28442
157,696,5.47119
158,696,5.65247
159,696,5.83374
160,810,6.01501
161,810,6.19629
162,810,6.37756
163,810,6.55884
164,810,6.72913
165,810,6.89941
166,810,7.06421
167,810,7.2345
168,810,7.38281
169,810,7.53662
170,810,7.68494
171,810,7.83875
172,810,7.98157
173,810,8.12439
174,810,8.26172
175,810,8.40454
176,810,8.53638
177,810,8.66821
178,810,8.80554
179,810,8.93738
180,810,9.06372
181,811,9.19006
182,811,9.31091
183,925,9.43726
184,925,9.55811
185,925,9.67346
186,925,9.79431
187,925,9.90967
188,925,10.0305
189,925,10.1459
190,925,10.2667
191,925,10.3821
192,925,10.5084
193,925,10.6293
194,925,10.7501
195,925,10.871
196,925,10.9918
