k,time,angle
1,6,0
2,6,0
3,6,0
4,6,0
5,6,-0.00549316
6,6,-0.00549316
7,6,-0.00549316
8,6,-0.00549316
9,6,-0.00549316
10,6,-0.00549316
11,6,-0.00549316
12,6,-0.00549316
13,6,-0.00549316
14,7,-0.00549316
15,7,-0.00549316
16,7,-0.00549316
17,7,-0.00549316
18,7,-0.00549316
19,7,-0.00549316
20,7,-0.00549316
21,7,-0.00549316
22,7,-0.00549316
23,120,-0.00549316
24,120,-0.00549316
25,121,-0.00549316
26,121,-0.00549316
27,121,-0.00549316
28,121,-0.00549316
29,121,-0.00549316
30,121,-0.00549316
31,121,-0.00549316
32,121,-0.00549316
33,121,-0.00549316
34,121,-0.00549316
35,122,-0.00549316
36,122,-0.00549316
37,122,-0.00549316
38,122,-0.00549316
39,122,-0.00549316
40,122,-0.00549316
41,122,-0.00549316
42,122,-0.00549316
43,122,-0.00549316
44,122,-0.00549316
45,122,-0.00549316
46,232,-0.00549316
47,232,-0.00549316
48,232,-0.00549316
49,232,-0.00549316
50,232,-0.00549316
51,232,-0.00549316
52,232,-0.00549316
53,232,-0.00549316
54,232,-0.00549316
55,232,-0.00549316
56,232,-0.00549316
57,232,-0.00549316
58,232,-0.00549316
59,232,-0.00549316
60,232,-0.00549316
61,232,-0.00549316
62,232,-0.00549316
63,232,-0.00549316
64,232,-0.00549316
65,232,-0.00549316
66,232,-0.00549316
67,232,-0.00549316
68,232,-0.00549316
69,345,-0.00549316
70,345,-0.00549316
71,345,-0.00549316
72,345,-0.00549316
73,345,-0.00549316
74,345,-0.00549316
75,345,-0.00549316
76,345,-0.00549316
77,345,-0.00549316
78,346,-0.00549316
79,346,-0.00549316
80,346,-0.00549316
81,346,-0.00549316
82,346,-0.00549316
83,346,-0.00549316
84,346,-0.00549316
85,346,-0.00549316
86,346,-0.00549316
87,346,-0.00549316
88,346,-0.00549316
89,346,-0.00549316
90,346,-0.00549316
91,460,-0.00549316
92,460,-0.00549316
93,460,-0.00549316
94,460,-0.00549316
95,460,-0.00549316
96,460,-0.00549316
97,460,-0.00549316
98,460,-0.00549316
99,460,-0.00549316
100,460,-0.00549316
101,460,-0.00549316
102,460,-0.00549316
103,460,-0.00549316
104,460,-0.00549316
105,460,-0.00549316
106,460,-0.00549316
107,460,-0.00549316
108,460,-0.00549316
109,460,-0.00549316
110,460,-0.00549316
111,460,-0.00549316
112,460,-0.00549316
113,460,-0.00549316
114,572,-0.00549316
115,572,-0.00549316
116,572,-0.00549316
117,572,-0.00549316
118,572,-0.00549316
119,572,-0.00549316
120,572,-0.00549316
121,572,-0.00549316
122,572,-0.00549316
123,572,-0.00549316
124,572,-0.00549316
125,572,-0.00549316
126,572,-0.0164795
127,572,-0.0274658
128,572,-0.0384521
129,572,-0.0494385
130,572,-10.816
131,572,-23.3624
132,572,-37.3535
133,572,-51.8939
134,572,-65.8081
135,572,-78.2227
136,572,-88.8519
137,685,-97.8223
138,685,-105.436
139,685,-112.253
