k,time,angle
1,7,0
2,8,0
3,8,0
4,8,0
5,8,0
6,8,0
7,8,0
8,8,0
9,8,0
10,8,0
11,8,0
12,8,0
13,8,0
14,8,0
15,9,0
16,9,0
17,9,0
18,9,0
19,9,0
20,9,0
21,9,0
22,9,0
23,9,0
24,121,0
25,121,0
26,121,0
27,121,0
28,121,0
29,121,0
30,121,0
31,121,0
32,121,0
33,121,0
34,121,0
35,121,0
36,121,0
37,121,0
38,121,0
39,121,0
40,121,0
41,121,0
42,121,0
43,122,0
44,122,0
45,122,0
46,235,0
47,235,0
48,235,0
49,236,0
50,236,0
51,236,0
52,236,0
53,236,0
54,236,0
55,236,0
56,236,0
57,236,0
58,236,0
59,236,0
60,236,0
61,236,0.00549316
62,237,0.00549316
63,237,0
64,237,0
65,237,0
66,237,0
67,237,0
68,237,0
69,347,0
70,347,0
71,347,0.00549316
72,347,0.00549316
73,347,0.00549316
74,347,0.00549316
75,347,0.00549316
76,347,0.00549316
77,347,0.00549316
78,347,0.00549316
79,347,0.00549316
80,347,0.00549316
81,347,0.00549316
82,347,0.00549316
83,347,0.00549316
84,347,0.00549316
85,347,0.00549316
86,347,0.00549316
87,347,0.00549316
88,347,0.00549316
89,347,0.00549316
90,347,0.00549316
91,348,0.00549316
92,460,0.00549316
93,460,0.00549316
94,460,0.00549316
95,460,0.00549316
96,460,0.00549316
97,460,0.00549316
98,460,0.00549316
99,460,0.00549316
100,460,0.00549316
101,460,0.00549316
102,460,0.00549316
103,460,0.00549316
104,460,0.00549316
105,461,0.00549316
106,461,0.00549316
107,461,0.00549316
108,461,0.00549316
109,461,0.00549316
110,461,0.00549316
111,461,0.00549316
112,461,0.00549316
113,461,0.0109863
114,575,0.0109863
115,575,0.0109863
116,575,0.0109863
117,575,0.0109863
118,575,0.0109863
119,575,0.0109863
120,575,0.0109863
121,575,0.0109863
122,575,0.0109863
123,575,0.0109863
124,575,0.0109863
125,575,0.0109863
126,575,0.0109863
127,575,0.0549316
128,575,0.098877
129,575,0.142822
130,575,0.181274
131,575,0.307617
132,575,0.43396
133,575,0.55481
134,575,0.675659
135,575,0.796509
136,576,0.917358
137,690,1.03821
138,690,1.15906
139,690,1.27991
140,690,1.40076
141,690,1.51611
142,690,1.63696
143,690,1.76331
144,690,1.88965
145,690,2.02148
146,690,2.14783
147,690,2.27417
148,690,2.40601
149,690,2.53784
150,690,2.66968
151,690,2.79602
152,690,2.92236
153,690,3.04871
154,690,3.17505
155,690,3.2959
156,690,3.41125
157,690,3.5321
158,690,3.64746
159,690,3.75732
160,801,3.86719
161,801,3.97705
162,802,4.08691
163,802,4.18579
164,802,4.29016
165,802,4.38904
166,802,4.48792
167,802,4.5813
168,802,4.67468
169,802,4.76807
170,802,4.85596
171,802,4.94385
172,802,5.03174
173,802,5.11963
174,802,5.20203
175,802,5.28442
176,802,5.36133
177,802,5.43823
178,802,5.51514
179,802,5.58655
180,802,5.65796
181,802,5.72937
182,802,5.80078
183,914,5.8667
184,914,5.93811
185,914,6.00403
186,914,6.06995
187,914,6.13586
188,914,6.20728
189,915,6.27319
190,915,6.33911
191,915,6.40503
192,915,6.47644
193,915,6.54785
194,915,6.61377
195,915,6.68518
196,915,6.75659
197,915,6.82251
198,915,6.89392
199,915,6.95984
200,915,7.03125
201,915,7.09717
202,915,7.16309
203,915,7.229
204,915,7.29492
205,1029,7.36084
206,1029,7.42126
207,1029,7.48718
208,1029,7.5531
209,1029,7.61902
210,1029,7.67944
211,1029,7.75085
212,1030,7.81677
213,1030,7.88269
214,1030,7.94861
215,1030,8.01453
216,1030,8.07495
217,1030,8.14087
218,1030,8.20129
219,1030,8.26721
220,1030,8.32764
221,1030,8.38806
222,1030,8.45398
223,1030,8.50891
224,1030,8.56934
225,1030,8.62976
226,1030,8.68469
227,1030,8.74512
228,1141,8.80554
229,1141,8.86047
230,1141,8.9209
231,1141,8.97583
232,1141,9.03625
233,1141,9.09119
234,1141,9.14612
