k,time,angle
1,22,0
2,22,0
3,23,0
4,23,0
5,23,0
6,23,0
7,23,0
8,23,0
9,23,0
10,23,0
11,23,0
12,23,0
13,23,0
14,23,0
15,23,0
16,23,0
17,23,0
18,23,0
19,23,0
20,23,0
21,23,0
22,24,0
23,137,0
24,137,0
25,137,0
26,137,0
27,137,0
28,137,0
29,137,0
30,137,0
31,137,0
32,137,0
33,137,0
34,137,0
35,138,0
36,138,0
37,138,0
38,138,0
39,138,0
40,138,0
41,138,0
42,138,0
43,138,0
44,138,0
45,138,0
46,249,0
47,249,0
48,249,0
49,249,0
50,249,0
51,249,0
52,249,0
53,249,0
54,249,0
55,249,0
56,249,0
57,249,0
58,249,0
59,250,0
60,251,0
61,251,0
62,251,0
63,251,0
64,251,0
65,251,0
66,251,0
67,251,0
68,251,0
69,361,0
70,362,0
71,362,0
72,362,0
73,362,0
74,362,0
75,362,0
76,362,0
77,362,0
78,362,0
79,362,0
80,362,0
81,362,0
82,362,0
83,362,0
84,362,0
85,362,0
86,362,0
87,362,0
88,362,0
89,362,0
90,362,0
91,477,0
92,477,0
93,477,0
94,477,0
95,477,0
96,477,0
97,477,0
98,477,0
99,477,0
100,477,0
101,477,0
102,477,0
103,477,0
104,477,0
105,477,0
106,477,0
107,477,0
108,477,0
109,477,0
110,477,0
111,477,0
112,477,0
113,477,0
114,591,0
115,591,0
116,591,0
117,591,0
118,591,0
119,591,0
120,591,0
121,591,0
122,591,0
123,591,0
124,591,0.00549316
125,591,0.00549316
126,591,0.00549316
127,591,0.192261
128,591,0.373535
129,591,0.55481
130,592,0.741577
131,592,0.922852
132,592,1.10962
133,592,1.29089
134,592,1.47217
135,592,1.65894
136,592,1.84021
137,703,2.02698
138,703,2.20825
139,703,2.39502
140,703,2.58728
141,703,2.77405
142,703,2.96082
143,703,3.15857
144,703,3.36182
145,703,3.55957
146,703,3.76282
147,703,3.97156
148,703,4.1803
149,703,4.38354
150,703,4.59229
151,703,4.79553
152,703,5.00427
153,703,5.20752
154,703,5.41077
155,703,5.61401
156,703,5.81726
157,703,6.01501
158,703,6.21277
159,703,6.40503
160,816,6.59729
161,816,6.78955
162,816,6.97632
163,816,7.15759
164,816,7.34436
165,816,7.52014
166,816,7.70142
167,816,7.8717
168,816,8.0365
169,816,8.20129
170,816,8.36609
171,816,8.52539
172,816,8.6792
173,816,8.83301
174,816,8.98682
175,816,9.13513
176,816,9.27795
177,816,9.42078
178,816,9.5636
179,816,9.69543
180,816,9.82727
181,816,9.95911
182,931,10.0909
183,931,10.2118
184,931,10.3381
185,931,10.459
186,931,10.5798
187,931,10.7007
188,931,10.8215
189,931,10.9424
190,931,11.0632
191,931,11.1841
192,931,11.3049
193,931,11.4258
194,931,11.5411
195,931,11.6675
196,931,11.7883
197,931,11.9147
198,931,12.0355
199,931,12.1564
200,931,12.2827
201,931,12.4036
202,931,12.5244
203,931,12.6453
204,931,12.7661
205,1043,12.887
206,1043,13.0023
207,1043,13.1232
208,1043,13.244
209,1043,13.3649
210,1043,13.4802
211,1043,13.5956
212,1043,13.7109
213,1043,13.8208
214,1043,13.9307
215,1043,14.035
216,1043,14.1394
217,1043,14.2438
218,1043,14.3481
219,1043,14.4415
220,1043,14.5349
221,1043,14.6283
222,1043,14.7217
223,1043,14.7986
224,1043,14.8755
225,1043,14.9469
226,1043,15.0183
227,1043,14.9579
228,1155,14.892
229,1155,14.826
230,1155,14.7601
231,1155,14.6832
232,1155,14.6118
233,1155,14.5349
234,1155,14.4635
235,1155,14.3866
236,1155,14.3152
237,1155,14.2438
238,1155,14.1669
239,1156,14.0955
240,1156,14.0186
241,1156,13.9471
242,1156,13.8702
243,1156,13.7933
244,1156,13.7164
245,1156,13.6395
246,1156,13.5626
247,1156,13.4912
248,1156,13.4198
249,1156,13.3429
250,1270,13.2715
251,1270,13.2001
252,1270,13.1232
253,1270,13.0518
254,1270,12.9803
255,1270,12.9089
256,1270,12.832
257,1270,12.7606
258,1270,12.6892
259,1270,12.6178
260,1270,12.5464
261,1271,12.475
262,1271,12.4036
263,1271,12.3322
264,1271,12.2607
265,1271,12.1893
266,1271,12.1179
267,1271,12.041
268,1271,11.9696
269,1271,11.8982
270,1271,11.8268
271,1271,11.7554
272,1271,11.684
273,1382,11.6125
274,1382,11.5411
275,1382,11.4697
276,1382,11.3983
277,1382,11.3269
278,1382,11.2555
279,1382,11.1841
280,1382,11.1127
281,1382,11.0413
282,1382,10.9753
283,1382,10.9039
284,1382,10.838
285,1382,10.7666
286,1382,10.7007
287,1382,10.6293
288,1382,10.5634
289,1382,10.4919
290,1382,10.426
291,1382,10.3601
292,1382,10.2887
293,1382,10.2228
294,1382,10.1569
295,1382,10.0909
296,1495,10.025
297,1495,9.95361
298,1495,9.8877
299,1495,9.82178
300,1495,9.75586
301,1495,9.68445
302,1495,9.61853
303,1495,9.55261
304,1495,9.48669
305,1495,9.42078
306,1495,9.35486
307,1495,9.28894
308,1495,9.22302
309,1495,9.1571
310,1495,9.09668
311,1495,9.03076
312,1495,8.96484
313,1495,8.90442
314,1495,8.8385
315,1495,8.77808
316,1495,8.71216
317,1495,8.65173
