k,time,angle
1,113,0
2,113,0
3,114,0
4,114,0
5,114,0
6,114,0
7,114,0
8,114,0
9,114,0
10,114,0
11,114,0
12,114,0
13,114,0
14,114,0
15,114,0
16,114,0
17,114,0
18,114,0
19,114,0
20,114,0
21,115,0
22,115,0
23,115,0
24,225,0
25,225,0
26,225,0
27,225,0
28,225,0
29,225,0
30,225,0
31,225,0
32,225,0
33,225,0
34,225,0
35,225,0
36,225,0
37,225,0
38,225,0
39,225,0
40,225,0
41,225,0
42,225,0
43,226,0
44,226,0
45,226,0
46,226,0
47,338,0
48,338,0
49,338,0
50,338,0
51,338,0
52,338,0
53,338,0
54,338,0
55,338,0
56,338,0
57,338,0
58,341,0
59,341,0
60,341,0
61,341,0
62,341,0
63,341,0
64,341,0
65,341,0
66,341,0
67,341,0
68,341,0
69,452,0
70,452,0
71,452,0
72,453,0
73,453,0
74,453,0
75,453,0
76,453,0
77,453,0
78,453,0
79,453,0
80,453,0
81,453,0
82,453,0
83,453,0
84,453,0
85,453,0
86,453,0
87,453,0
88,453,0
89,453,0
90,453,0
91,453,0
92,564,0
93,564,0
94,564,0
95,564,0
96,564,0
97,564,0
98,564,0
99,564,0
100,564,0
101,564,0
102,564,0
103,564,0
104,564,0
105,564,0
106,564,0
107,564,0
108,564,0
109,564,0.115356
110,564,0.230713
111,564,0.346069
112,564,0.466919
113,564,0.593262
114,564,0.714111
115,677,0.834961
116,677,0.961304
117,677,1.08215
118,677,1.2085
119,677,1.32935
120,677,1.4502
121,677,1.57104
122,677,1.69189
123,677,1.80725
124,677,1.93909
125,677,2.07092
126,677,2.20276
127,677,2.3291
128,677,2.46094
129,677,2.59277
130,677,2.71912
131,677,2.85095
132,677,2.9718
133,677,3.09814
134,677,3.21899
135,677,3.34534
136,677,3.46069
137,792,3.57605
138,792,3.68591
139,792,3.80127
140,792,3.91113
141,792,4.0155
142,792,4.12537
143,792,4.22974
144,792,4.32861
145,792,4.42749
146,792,4.52087
147,792,4.61975
148,792,4.70764
149,792,4.79553
150,792,4.88342
151,792,4.97131
152,792,5.04822
153,792,5.13062
154,792,5.21301
155,792,5.28992
156,792,5.36682
157,792,5.43823
158,792,5.50964
159,792,5.58655
160,907,5.65796
161,907,5.72388
162,907,5.79529
163,907,5.8667
164,907,5.93811
165,907,6.01501
166,907,6.08643
167,907,6.15784
