k,time,angle
1,5,0
2,5,0
3,5,0
4,5,0
5,5,0
6,5,0
7,5,0
8,6,0
9,6,0
10,6,0
11,6,0
12,6,0
13,6,0
14,6,0
15,6,0
16,6,0
17,6,0
18,6,0
19,6,0
20,6,0
21,6,0
22,6,0
23,6,0
24,118,0
25,118,0
26,118,0
27,118,0
28,118,0
29,118,0
30,118,0
31,118,0
32,118,0
33,118,0
34,118,0
35,118,0
36,119,0
37,119,0
38,119,0
39,119,0
40,119,0
41,119,0
42,119,0
43,119,0
44,119,0
45,119,0
46,233,0
47,233,0
48,233,0
49,233,0
50,233,0
51,233,0
52,233,0
53,233,0
54,233,0
55,233,0
56,233,0
57,233,0
58,233,0
59,233,0
60,233,0
61,233,0
62,236,0
63,236,0
64,236,0
65,236,0
66,236,0
67,236,0
68,236,0
69,344,0
70,344,0
71,344,0
72,344,0
73,344,0
74,344,0
75,344,0
76,344,0
77,344,0
78,344,0
79,344,-0.00549316
80,345,-0.00549316
81,345,-0.00549316
82,345,-0.00549316
83,345,-0.00549316
84,345,-0.00549316
85,345,-0.00549316
86,345,-0.00549316
87,345,0
88,345,0
89,345,-0.00549316
90,345,-0.00549316
91,345,-0.00549316
92,457,-0.00549316
93,457,-0.00549316
94,457,-0.00549316
95,457,-0.00549316
96,457,-0.00549316
97,457,-0.00549316
98,457,-0.00549316
99,457,-0.00549316
100,457,-0.00549316
101,457,-0.00549316
102,457,-0.00549316
103,457,-0.00549316
104,458,0
105,458,0
106,458,0
107,458,0
108,458,0
109,458,0
110,458,0
111,458,-0.00549316
112,458,-0.00549316
113,458,-0.00549316
114,572,0
115,572,0
116,572,0
117,572,0
118,572,0
119,572,0
120,572,0
121,572,0
122,572,0
123,572,0
124,572,0
125,573,0
126,573,0
127,573,0
128,573,0.0109863
129,573,0.0274658
130,573,0.0384521
131,573,0.0549316
132,573,0.0823975
133,573,0.109863
134,573,0.137329
135,573,0.159302
136,573,0.186768
137,684,0.214233
138,684,0.241699
139,684,0.269165
140,684,0.296631
141,684,0.324097
142,684,0.346069
143,684,0.373535
144,684,0.395508
145,684,0.422974
146,684,0.450439
147,684,0.477905
148,684,0.505371
149,684,0.532837
150,684,0.55481
151,684,0.582275
152,684,0.609741
153,684,0.637207
154,684,0.65918
155,684,0.686646
156,684,0.708618
157,684,0.730591
158,684,0.758057
159,684,0.780029
160,797,0.802002
161,797,0.823975
162,797,0.845947
