k,time,angle
1,29,0
2,29,0
3,29,0
4,29,0
5,29,0
6,29,0
7,29,0
8,29,0
9,29,0
10,29,0
11,29,0
12,29,0
13,29,0
14,30,0
15,30,0
16,30,0
17,30,0
18,30,0
19,30,0
20,30,0
21,30,0
22,30,0
23,143,0
24,144,0
25,144,0
26,144,0
27,144,0
28,144,0
29,144,0
30,144,0
31,144,0
32,144,0
33,144,0
34,144,0
35,144,0
36,144,0
37,144,0
38,144,0
39,144,0
40,144,0
41,144,0
42,144,0
43,144,0
44,145,0
45,145,0
46,255,0
47,255,0
48,255,-0.00549316
49,255,0
50,255,0
51,255,0
52,255,0
53,255,0
54,255,0
55,255,0
56,256,0
57,256,0
58,256,0
59,256,0
60,256,0
61,256,0
62,256,0
63,256,0
64,256,0
65,256,0
66,256,0
67,256,0
68,256,0
69,368,0
70,368,0
71,368,0
72,368,0
73,368,0
74,368,0
75,368,0
76,368,0
77,368,0
78,368,0
79,368,0
80,368,0
81,368,0
82,368,0
83,368,0
84,368,0
85,368,0
86,368,0
87,368,0
88,368,0
89,368,0
90,368,0
91,483,0
92,483,0
93,483,0
94,483,0
95,483,0
96,483,0
97,483,0
98,483,0
99,483,-0.00549316
100,483,-0.00549316
101,483,-0.00549316
102,483,-0.00549316
103,483,-0.00549316
104,483,-0.00549316
105,483,-0.00549316
106,483,-0.00549316
107,483,-0.00549316
108,483,-0.00549316
109,483,-0.00549316
110,483,-0.00549316
111,483,-0.00549316
112,483,-0.00549316
113,483,-0.00549316
114,598,-0.00549316
115,598,-0.00549316
116,598,-0.00549316
117,598,-0.00549316
118,598,-0.00549316
119,598,-0.00549316
120,598,-0.00549316
121,598,-0.00549316
122,598,-0.00549316
123,598,-0.00549316
124,598,-0.00549316
125,598,0.10437
126,598,0.203247
127,598,0.307617
128,598,0.411987
129,598,0.532837
130,598,0.648193
131,598,0.76355
132,598,0.884399
133,598,1.00525
134,598,1.1261
135,598,1.24695
136,598,1.3623
137,709,1.48865
138,709,1.6095
139,709,1.73035
140,709,1.8512
141,710,1.97754
142,710,2.10388
143,710,2.22473
144,710,2.35107
145,710,2.47192
146,710,2.59827
147,710,2.71912
148,710,2.84546
149,710,2.96082
150,710,3.08167
151,710,3.20251
152,710,3.31787
153,710,3.43872
154,710,3.55408
155,710,3.67493
156,710,3.79028
157,710,3.90564
158,710,4.0155
159,710,4.12537
160,822,4.23523
161,822,4.33411
162,822,4.42749
163,822,4.52637
164,822,4.61975
165,823,4.71313
166,823,4.80103
167,823,4.88892
168,823,4.97681
169,823,5.05371
170,823,5.13611
171,823,5.21851
172,823,5.3009
173,823,5.37231
174,823,5.44922
175,823,5.52612
176,823,5.59753
177,823,5.66895
178,823,5.74036
179,823,5.81177
180,823,5.87769
181,823,5.9491
182,937,6.01501
183,937,6.08093
184,937,6.14685
185,937,6.21826
186,937,6.28967
187,938,6.36108
188,938,6.4325
189,938,6.50391
190,938,6.56982
191,938,6.64124
192,938,6.70715
193,938,6.77856
194,938,6.84448
195,938,6.9104
196,938,6.98181
197,938,7.04773
198,938,7.11365
199,938,7.17957
200,938,7.24548
201,938,7.3114
202,938,7.37732
203,938,7.44324
204,938,7.50916
205,1049,7.58057
206,1049,7.64648
207,1049,7.7124
208,1049,7.77832
209,1049,7.84424
210,1049,7.91016
211,1049,7.97607
212,1049,8.04199
213,1049,8.10242
214,1049,8.16833
215,1049,8.22876
216,1049,8.29468
217,1049,8.3551
218,1049,8.41553
219,1049,8.47595
220,1049,8.53638
221,1050,8.5968
222,1050,8.65723
223,1050,8.71216
224,1050,8.77258
225,1050,8.83301
226,1050,8.88794
227,1050,8.94836
228,1162,9.0033
229,1162,9.05823
230,1162,9.11316
231,1162,9.1626
232,1162,9.21753
233,1162,9.27246
234,1162,9.3219
235,1162,9.37134
236,1162,9.42078
237,1162,9.47571
238,1162,9.53064
239,1162,9.58008
240,1162,9.62952
241,1162,9.68445
242,1162,9.73389
243,1162,9.78333
244,1162,9.83276
245,1162,9.8822
246,1162,9.93164
247,1162,9.97559
248,1162,10.025
249,1162,10.0745
250,1277,10.1239
251,1277,10.1678
252,1277,10.2173
253,1277,10.2612
254,1277,10.3052
255,1277,10.3491
256,1277,10.3986
257,1277,10.437
258,1277,10.481
259,1277,10.5194
260,1277,10.5579
261,1277,10.5963
262,1277,10.6348
263,1277,10.6732
264,1277,10.7117
265,1277,10.7446
266,1277,10.7831
267,1277,10.816
268,1277,10.849
