k,time,angle
1,8,0
2,8,0
3,8,0
4,8,0
5,8,0
6,9,0
7,9,0
8,9,0
9,9,0
10,9,-0.00549316
11,9,0
12,9,0
13,9,0
14,9,0
15,9,0
16,9,0
17,9,0
18,9,0
19,9,0
20,9,0
21,9,0
22,9,0
23,123,0
24,123,0
25,123,0
26,123,0
27,123,0
28,123,0
29,123,-0.00549316
30,123,-0.00549316
31,123,-0.00549316
32,124,0
33,124,0
34,124,0
35,124,0
36,124,0
37,124,0
38,124,0
39,124,0
40,124,0
41,124,0
42,124,0
43,124,0
44,124,0
45,124,0
46,238,0
47,238,0
48,238,0
49,238,0
50,238,0
51,238,0
52,238,0
53,238,0
54,238,0
55,238,0
56,238,0
57,238,0
58,240,0
59,240,0
60,240,0
61,240,0
62,240,0
63,240,0
64,240,0
65,240,0
66,240,0
67,240,0
68,240,0
69,349,0
70,349,0
71,349,0
72,349,0
73,349,0
74,349,0
75,349,0
76,349,0
77,349,0
78,349,0
79,349,0
80,349,0
81,349,-0.00549316
82,349,-0.00549316
83,349,-0.00549316
84,349,-0.00549316
85,349,-0.00549316
86,349,0
87,349,0
88,349,0
89,349,0
90,349,0
91,349,0
92,462,0
93,462,0
94,462,0
95,462,0
96,462,0
97,462,0
98,462,0
99,462,0
100,462,0
101,462,0
102,462,0
103,463,0
104,463,0
105,463,0
106,463,0
107,463,0
108,463,0
109,463,0
110,463,0
111,463,0
112,463,0
113,463,0
114,577,0
115,577,0
116,577,0
117,577,0
118,577,0
119,577,0
120,577,0
121,577,0
122,577,0
123,577,0
124,577,0
125,577,0
126,577,0
127,577,0.00549316
128,577,0.0109863
129,577,0.0164795
130,577,0.0219727
131,577,0.148315
132,577,0.274658
133,577,0.401001
134,577,0.527344
135,578,0.653687
136,578,0.785522
137,688,0.917358
138,689,1.0437
139,689,1.17554
140,689,1.30737
141,689,1.43372
142,689,1.56555
143,689,1.70288
144,689,1.84021
145,689,1.97205
146,689,2.10938
147,689,2.2467
148,689,2.38953
149,689,2.52686
150,689,2.66418
151,689,2.80701
152,689,2.94434
153,689,3.08167
154,689,3.21899
155,689,3.35632
156,689,3.49365
157,689,3.62549
158,689,3.76282
159,689,3.88916
160,802,4.0155
161,802,4.14734
162,802,4.27368
163,802,4.39453
164,802,4.52087
165,802,4.64172
166,802,4.76257
167,802,4.88342
168,802,4.99878
169,802,5.11963
170,802,5.23499
171,802,5.34485
172,802,5.46021
173,802,5.57007
174,802,5.67993
175,802,5.7843
176,802,5.88318
177,802,5.98755
178,802,6.08643
179,802,6.1908
180,802,6.28967
181,802,6.39404
182,916,6.49292
183,917,6.5918
184,917,6.69067
185,917,6.78406
186,917,6.88293
187,917,6.98181
188,917,7.08069
189,917,7.17957
190,917,7.27295
191,917,7.37183
192,917,7.4707
193,917,7.56958
194,917,7.66846
195,917,7.76184
196,917,7.85522
197,917,7.9541
198,917,8.04749
199,917,8.14087
200,917,8.23425
201,917,8.33313
202,917,8.42651
203,917,8.5199
204,917,8.61877
205,1031,8.71216
206,1031,8.80554
207,1031,8.89343
208,1031,8.98682
209,1031,9.07471
210,1031,9.1626
211,1031,9.25049
212,1031,9.34387
213,1031,9.43176
214,1031,9.51965
215,1031,9.60754
216,1031,9.69543
217,1032,9.77783
218,1032,9.86572
219,1032,9.94812
220,1032,10.0305
221,1032,10.1129
222,1032,10.1898
223,1032,10.2722
224,1032,10.3546
225,1032,10.4315
226,1032,10.5139
227,1032,10.5908
228,1141,10.6732
229,1141,10.7501
230,1141,10.827
231,1141,10.9039
232,1141,10.9808
233,1141,11.0577
234,1141,11.1401
235,1141,11.2115
236,1141,11.2885
237,1141,11.3599
238,1141,11.4313
239,1141,11.5027
240,1141,11.5741
241,1141,11.6455
242,1141,11.7169
243,1141,11.7828
244,1141,11.8542
245,1141,11.9257
246,1141,11.9916
247,1141,12.0575
248,1141,12.1289
249,1141,12.1948
250,1256,12.2607
251,1256,12.3267
252,1256,12.3926
253,1256,12.4585
254,1256,12.5244
255,1256,12.5848
256,1256,12.6453
257,1256,12.7057
258,1256,12.7661
259,1256,12.832
260,1256,12.8925
261,1256,12.9529
262,1256,13.0078
263,1256,13.0682
264,1256,13.1287
265,1256,13.1836
266,1256,13.244
267,1256,13.299
268,1256,13.3539
269,1256,13.4088
270,1256,13.4637
271,1256,13.5187
272,1256,13.5736
273,1370,13.6285
274,1371,13.678
275,1371,13.7329
276,1371,13.7878
277,1371,13.8428
278,1371,13.8922
279,1371,13.9471
280,1371,13.9966
281,1371,14.0515
282,1371,14.101
283,1371,14.1504
284,1371,14.1943
285,1371,14.2438
286,1371,14.2877
287,1371,14.3372
288,1371,14.3811
289,1371,14.4305
290,1371,14.4745
291,1371,14.5239
292,1371,14.5679
293,1371,14.6173
294,1371,14.6613
295,1371,14.7052
296,1482,14.7491
297,1482,14.7931
298,1482,14.837
299,1482,14.8755
300,1482,14.9194
301,1482,14.9579
302,1482,14.9963
303,1482,15.0348
304,1482,15.0677
305,1483,15.1007
306,1483,15.1337
307,1483,15.1666
308,1483,15.2051
309,1483,15.238
310,1483,15.271
311,1483,15.304
312,1483,15.3314
313,1483,15.3644
314,1483,15.3973
315,1483,15.4248
316,1483,15.4523
317,1483,15.4797
318,1483,15.5072
319,1595,15.5347
320,1595,15.5621
321,1595,15.5896
322,1595,15.6171
323,1595,15.6445
324,1595,15.6665
325,1595,15.694
326,1595,15.7159
327,1595,15.7379
328,1595,15.7599
329,1595,15.7819
330,1595,15.8038
331,1596,15.8203
332,1596,15.8423
333,1596,15.8588
334,1596,15.8752
335,1596,15.8917
336,1596,15.9027
337,1596,15.9192
338,1596,15.9357
339,1596,15.9467
340,1596,15.9631
341,1710,15.9741
342,1710,15.9851
343,1710,15.9961
344,1710,16.0071
345,1710,16.0181
346,1710,16.0291
347,1710,16.04
348,1710,16.051
349,1710,16.062
350,1710,16.062
351,1710,16.062
352,1710,16.0675
353,1710,16.0675
354,1710,16.062
355,1710,16.062
356,1710,16.0565
357,1710,16.051
358,1710,16.0455
359,1710,16.04
360,1710,16.0345
361,1710,16.0291
362,1710,16.0236
363,1710,16.0126
364,1821,16.0071
365,1821,15.9961
366,1821,15.9851
367,1821,15.9741
368,1821,15.9631
369,1822,15.9467
370,1822,15.9302
371,1822,15.9082
372,1822,15.8917
373,1822,15.8698
374,1822,15.8478
375,1822,15.8258
376,1822,15.8038
377,1822,15.7819
378,1822,15.7599
379,1822,15.7379
380,1822,15.7159
381,1822,15.6885
382,1822,15.6665
383,1822,15.639
384,1822,15.6116
385,1822,15.5841
386,1822,15.5566
387,1934,15.5292
388,1935,15.5017
389,1935,15.4742
390,1935,15.4468
391,1935,15.4138
392,1935,15.3809
393,1935,15.3534
394,1935,15.3149
395,1935,15.282
396,1935,15.249
397,1935,15.2106
398,1935,15.1721
399,1935,15.1337
400,1935,15.0952
401,1935,15.0568
402,1935,15.0183
403,1935,14.9854
404,1935,14.9469
405,1935,14.9084
406,1935,14.8645
407,1935,14.826
408,1935,14.7876
409,2049,14.7437
410,2049,14.6997
411,2049,14.6613
412,2049,14.6173
413,2049,14.5734
414,2049,14.5294
415,2049,14.4855
416,2049,14.436
417,2049,14.3921
418,2049,14.3427
419,2049,14.2932
420,2050,14.2438
421,2050,14.1943
422,2050,14.1394
423,2050,14.09
424,2050,14.035
425,2050,13.9801
426,2050,13.9252
427,2050,13.8702
428,2050,13.8153
429,2050,13.7604
430,2050,13.7054
431,2050,13.6505
432,2164,13.5901
433,2164,13.5352
434,2164,13.4802
435,2164,13.4253
436,2164,13.3704
437,2164,13.3099
438,2164,13.2495
439,2164,13.1891
440,2164,13.1232
441,2164,13.0627
442,2164,13.0023
443,2164,12.9419
444,2164,12.876
445,2164,12.8156
446,2164,12.7496
447,2164,12.6837
448,2164,12.6178
449,2164,12.5519
450,2164,12.4915
451,2165,12.4255
452,2165,12.3596
453,2165,12.2937
454,2165,12.2278
455,2276,12.1619
456,2276,12.0959
457,2276,12.03
458,2276,11.9641
459,2276,11.8982
460,2276,11.8323
461,2276,11.7664
462,2276,11.7004
463,2276,11.6345
464,2276,11.5686
465,2276,11.5027
466,2276,11.4313
467,2276,11.3544
468,2276,11.2775
469,2276,11.2006
470,2276,11.1292
471,2276,11.0522
472,2276,10.9808
473,2276,10.9039
474,2276,10.838
475,2276,10.7666
476,2276,10.6952
477,2276,10.6238
478,2389,10.5524
479,2389,10.4755
480,2389,10.3986
481,2389,10.3217
482,2389,10.2448
483,2389,10.1678
484,2389,10.0909
485,2389,10.014
486,2389,9.93713
487,2389,9.86023
488,2389,9.78333
489,2389,9.70642
490,2389,9.62402
491,2389,9.54163
492,2389,9.45923
493,2389,9.37683
494,2389,9.29993
495,2389,9.22302
496,2389,9.14612
497,2389,9.06372
498,2389,8.98682
499,2389,8.90442
500,2504,8.82751
501,2504,8.74512
502,2504,8.66821
503,2504,8.59131
504,2504,8.5144
505,2504,8.4375
506,2504,8.3606
507,2504,8.2782
508,2504,8.20129
509,2504,8.1189
510,2504,8.04199
511,2504,7.95959
512,2504,7.8772
513,2504,7.80029
514,2504,7.7124
515,2504,7.63
516,2504,7.54761
517,2504,7.45972
518,2504,7.37732
519,2504,7.29492
520,2504,7.21252
521,2504,7.13013
522,2504,7.05322
523,2615,6.96533
524,2615,6.88293
525,2615,6.80054
526,2615,6.71814
527,2615,6.63574
528,2615,6.55334
529,2615,6.47644
530,2615,6.3446
531,2615,6.21826
532,2615,6.08643
533,2615,5.95459
534,2615,5.81177
535,2615,5.66345
536,2615,5.52063
537,2615,5.37231
538,2615,5.22949
539,2615,5.08118
540,2616,4.93835
541,2616,4.79553
542,2616,4.64722
543,2616,4.50439
544,2616,4.35608
545,2616,4.21326
546,2728,4.06494
547,2728,3.92212
548,2728,3.7738
549,2728,3.63098
550,2728,3.48816
551,2728,3.34534
552,2728,3.20251
553,2728,3.05969
554,2728,2.91687
555,2728,2.77405
556,2728,2.63123
557,2728,2.4884
558,2728,2.34558
559,2728,2.20276
560,2728,2.06543
561,2728,1.92261
562,2728,1.77979
563,2728,1.64246
564,2728,1.49963
565,2728,1.3623
566,2728,1.21948
567,2728,1.07666
568,2843,0.939331
569,2843,0.802002
570,2843,0.65918
571,2843,0.527344
572,2843,0.390015
573,2843,0.247192
574,2843,0.109863
575,2843,-0.0274658
576,2843,-0.164795
577,2843,-0.302124
578,2843,-0.439453
579,2843,-0.576782
580,2843,-0.714111
581,2843,-0.85144
582,2843,-0.98877
583,2843,-1.1261
584,2843,-1.25793
585,2843,-1.39526
586,2843,-1.5271
587,2843,-1.66443
588,2843,-1.80176
589,2843,-1.93359
590,2843,-2.06543
591,2954,-2.20276
592,2955,-2.33459
593,2955,-2.46643
594,2955,-2.59827
595,2955,-2.7301
596,2955,-2.86194
597,2955,-2.99927
598,2955,-3.1311
599,2955,-3.25745
600,2955,-3.38928
601,2955,-3.52112
602,2955,-3.65295
603,2955,-3.7793
604,2955,-3.91113
605,2955,-4.04297
606,2955,-4.16931
607,2955,-4.30115
608,2955,-4.42749
609,2955,-4.55933
610,2955,-4.68567
611,2955,-4.81201
612,2955,-4.94385
613,2955,-5.07019
